Title,Price,Neighbourhood,Image URL,Posting URL,Property Type,Size,Rooms
Villa à vendre sur Californie,8 500 000 DH,"Californie à
   						Casablanca",https://www.mubawab-media.com/ad/7/681/267F/m/WhatsApp%20Image%202023-11-02%20at%2020.30.52%20%286%29_59877873.jpeg,https://www.mubawab.ma/fr/a/7681267/villa-%C3%A0-vendre-sur-californie,Villa,"657
						m²",10 Pièces
Villa à vendre à CIL HAY SALAM,10 000 000 DH,"CIL (Hay Salam) à
   						Casablanca",https://www.mubawab-media.com/ad/7/805/828F/m/985d7d76-81a7-4ea7-8bd9-bae95cf34e79_800x600_59800538.jpg,https://www.mubawab.ma/fr/a/7805828/villa-%C3%A0-vendre-%C3%A0-cil-hay-salam,Villa,"400
						m²",5 Pièces
Villa à vendre à ANFA,7 000 000 DH,"Ain Diab à
   						Casablanca",https://www.mubawab-media.com/ad/7/916/101F/m/WhatsApp%20Image%202024-05-08%20at%2014.32.04_800x600_75343184.jpeg,https://www.mubawab.ma/fr/a/7916101/villa-%C3%A0-vendre-%C3%A0-anfa,Villa,"300
						m²",6 Pièces
Studio de 49m² en vente Blue Skies,1 131 000 DH,"Riviera à
   						Casablanca",https://www.mubawab-media.com/ad/7/503/656F/m/Blue%20Skies%203_31755674_31798561.jpg,https://www.mubawab.ma/fr/pa/7503656/studio-de-49m%C2%B2-en-vente-blue-skies,Appartement,"49
						m²",2 Pièces
"Appartement 96m² en vente, Résidence Al B...",800 000 DH,"Al Azhar à
   						Casablanca",https://www.mubawab-media.com/ad/7/624/609F/m/IMG_4291-HDR_39836986_39886955_39887067_39887218_39887336_39887554_39887950_39966606.jpg,https://www.mubawab.ma/fr/pa/7624609/appartement-96m%C2%B2-en-vente-r%C3%A9sidence-al-badr,Appartement,"96
						m²",4 Pièces
Ville à vendre sur POLO,12 000 000 DH,"Polo à
   					Casablanca",https://www.mubawab-media.com/ad/7/916/071F/m/WhatsApp%20Image%202023-12-08%20at%2015.47.32%20%282%29_800x600_75339466.jpeg,https://www.mubawab.ma/fr/a/7916071/ville-%C3%A0-vendre-sur-polo,Villa,"600
						m²",7 Pièces
Villa à vendre sur CALIFORNIE,29 000 000 DH,"Californie à
   					Casablanca",https://www.mubawab-media.com/ad/7/820/467F/m/1ff5073c-c830-4a2c-95c5-7e0579e218c1_800x369_61428599.jpg,https://www.mubawab.ma/fr/a/7820467/villa-%C3%A0-vendre-sur-californie,Villa,"850
						m²",7 Pièces
Villa à vendre à CALIFORNIE,15 500 000 DH,"Californie à
   					Casablanca",https://www.mubawab-media.com/ad/7/868/167F/m/WhatsApp%20Image%202023-08-17%20at%2011.55.09%20%283%29_800x600_68367621.jpeg,https://www.mubawab.ma/fr/a/7868167/villa-%C3%A0-vendre-%C3%A0-californie,Villa,"1100
						m²",8 Pièces
Apparemment à vendre 76m2 très bon état,1 150 000 DH,"Bourgogne Ouest à
   					Casablanca",https://www.mubawab-media.com/ad/7/948/358F/m/IMG-20240702-WA0065_77961493.jpeg,https://www.mubawab.ma/fr/a/7948358/apparemment-%C3%A0-vendre-76m2-tr%C3%A8s-bon-%C3%A9tat,Appartement,"76
						m²",3 Pièces
Appartement a Vendre sur Sidi Maarouf,1 119 000 DH,"Sidi Maarouf à
   					Casablanca",https://www.mubawab-media.com/ad/7/947/874F/m/WhatsApp%20Image%202023-06-07%20at%2023.22.56%20%281%29_77946334.jpeg,https://www.mubawab.ma/fr/a/7947874/appartement-a-vendre-sur-sidi-maarouf,Appartement,"70
						m²",3 Pièces
